,v_measure,homogeneity,completeness,Bird_ID,ref_db,win_length,hop_length,n_fft,K_nn,min_cluster_prop,embedding_method,embedding_dimensions,min_level_db
0,0.673663929492916,0.6931689603642075,0.6552265571414211,B145,20,512,128,512,10,0.04,UMAP,2,-28
0,0.465351977798477,0.5352229897531288,0.4116171638487254,B236,20,512,128,512,10,0.04,UMAP,2,-28
0,0.824531334464828,0.8553724682464843,0.7958368062662078,B258,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8629019063557255,0.8516616981738847,0.874442778624517,B385,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7132114280503046,0.7618716658408862,0.6703938196028181,B402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9170708327158719,0.925093516184401,0.9091861030200027,B447,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7364609737767249,0.7902528586566522,0.6895255189642637,B507,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7769447203067638,0.7697735318091032,0.7842507784253218,G255,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7080009521557061,0.7315543554434304,0.6859169094990165,G397,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8567644927479998,0.9328360227746255,0.7921645344516568,G402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.5911414657359314,0.6618512714686842,0.5340820620853216,G413,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8030722570927437,0.9530614650370275,0.6938731289712653,G437,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7000626441612302,0.7475251346696761,0.6582673815036821,G439,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9139495311495102,0.9002232507973944,0.9281008795584524,G524,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8246071970299754,0.7843624561584276,0.8692051178743818,G528,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8605426302011354,0.816914764458375,0.9090933536114182,O144,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9115373067663034,0.8864406194552459,0.9380964614855217,O254,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8028343664109409,0.8502652259349744,0.760415640662757,O421,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8994407702386712,0.9185690860875352,0.8810928606625736,O440,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8991086472593558,0.88541706577978,0.9132303168957838,O512,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7737769763521036,0.7599908430420647,0.7880725073359,R402,20,512,128,512,10,0.04,UMAP,2,-28
0,0.866879341698253,0.8332861722952729,0.9032948467386734,R425,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9310899277113366,0.9326577549462641,0.9295273627648442,R469,20,512,128,512,10,0.04,UMAP,2,-28
0,0.858843008280432,0.8420147428291421,0.8763576410580479,S132,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8450757259399614,0.9045494830172727,0.792940231331393,S421,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8548253965787934,0.8393341599265209,0.8708992161634117,S525,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7648256357722958,0.7227406830427343,0.8121148148599737,S528,20,512,128,512,10,0.04,UMAP,2,-28
0,0.6853367448469045,0.718878084139239,0.65478581597325,Y389,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8285901123278903,0.9228299962284846,0.7518144280680726,Y397,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8514682101981675,0.8795784649694558,0.8250990510384507,Y425,20,512,128,512,10,0.04,UMAP,2,-28
0,0.7994775294544851,0.8023952213621408,0.79658097945559,Y440,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9244108012711217,0.8963469093125458,0.9542888068680428,B524,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8212725658907681,0.7950092807663551,0.8493303583022086,O434,20,512,128,512,10,0.04,UMAP,2,-28
0,0.9425722477954085,0.917674829281943,0.9688583247609311,S389,20,512,128,512,10,0.04,UMAP,2,-28
0,0.8330385819413088,0.8642768758926842,0.8039796614765098,Y433,20,512,128,512,10,0.04,UMAP,2,-28
0,0.6812324108270656,0.6537545104942343,0.7111214981480443,Y453,20,512,128,512,10,0.04,UMAP,2,-28
