,mean_repetition_length,CV_repetition_length,Bird_ID
9,1.9375,0.6443543340463929,B145
0,1.8902439024390243,0.8262347679560553,B236
5,1.162162162162162,0.4250155088952806,B258
1,1.625,0.5022809725274275,B385
1,2.0821917808219177,0.5258221369128444,B402
0,1.204225352112676,0.4781394695564579,B447
1,3.338709677419355,0.4267918408416384,B507
1,3.607142857142857,0.5755363021518265,G255
1,2.693877551020408,0.44497500471480045,G397
0,2.4027777777777777,0.5312575852998129,G402
7,1.6666666666666667,0.38987177379235854,G413
9,1.0263157894736843,0.15596827000764665,G437
2,3.983050847457627,0.5280369275260446,G439
6,1.5,0.37796447300922725,G524
1,1.0148514851485149,0.11918821193044504,G528
3,1.5157894736842106,0.514264127265934,O144
1,7.178571428571429,0.4499394226145034,O254
6,2.6315789473684212,0.5542562584220406,O421
2,1.0129870129870129,0.111766639577966,O440
3,5.017241379310345,0.3765200374484181,O512
1,1.0,0.0,R402
2,1.7857142857142858,0.37070503398554244,R425
0,1.1395348837209303,0.3040747841990069,R469
1,2.013157894736842,0.2205821834076628,S132
1,2.616279069767442,0.495171749727703,S421
1,1.5789473684210527,0.4268749491621899,S525
4,1.8032786885245902,0.47966930757356063,S528
1,3.283333333333333,0.576784677142823,Y389
3,2.4375,0.508744485108825,Y397
6,1.0810810810810811,0.25248762345905196,Y425
3,2.096774193548387,0.6710702688392036,Y440
3,1.018181818181818,0.13122266479195596,B524
2,1.0,0.0,O434
4,1.07909604519774,0.25010619712033894,S389
0,2.9491525423728815,0.45201797936173993,Y433
2,1.2838427947598254,0.5313095017623574,Y453
