,Bird_ID,Group,wseg_gap_duration_entropy
0,B145,Isolate Adult,0.6506958102105604
1,B236,Isolate Adult,0.8909052179685603
2,B258,Isolate Adult,0.7269439365503523
3,B385,Typical Adult,0.8118944293103957
4,B402,FP1 KD Adult,0.8982391403361839
5,B447,Typical Adult,0.5722769460388426
6,B507,Typical Adult,0.7742934612526846
7,G255,Isolate Adult,0.8026444720578584
8,G397,FP1 KD Adult,0.7562283709644303
9,G402,Typical Adult,0.7362665978150583
10,G413,FP1 KD Adult,0.9068905391233949
11,G437,Typical Adult,0.6604714122827844
12,G439,Typical Adult,0.6472896583340901
13,G524,Typical Adult,0.5992713806606639
14,G528,Typical Adult,0.712605599546152
15,O144,Isolate Adult,0.7051536260901135
16,O254,Isolate Adult,0.6386223965946207
17,O421,FP1 KD Adult,0.8084738987626764
18,O440,Typical Adult,0.7333889874447067
19,O512,Typical Adult,0.8173144461258336
20,R402,Typical Adult,0.7732026243998469
21,R425,Typical Adult,0.6652423995586288
22,R469,Typical Adult,0.665740022617645
23,S132,Isolate Adult,0.739107305967538
24,S421,FP1 KD Adult,0.7607375275516856
25,S525,Typical Adult,0.5881691296287904
26,S528,Typical Adult,0.7302246546799327
27,Y389,FP1 KD Adult,0.7762425883264603
28,Y397,FP1 KD Adult,0.6649954172908018
29,Y425,Typical Adult,0.6635107677948624
30,Y440,Typical Adult,0.7233774976708167
31,B524,Typical Adult,0.7663000575048577
32,O434,Typical Adult,0.5454705674190444
33,S389,FP1 KD Adult,0.724989612426147
34,Y433,Typical Adult,0.6371118775779399
35,Y453,Isolate Adult,0.7869143570711943
0,Y855_51,Juvenile,0.8612575468696928
0,S856_51,Juvenile,0.8065049528701234
0,Y856_50,Juvenile,0.7721161989840045
0,S855_51,Juvenile,0.7767521008170126
0,S833_51,Juvenile,0.8754048280778299
0,O833_51,Juvenile,0.7717660901076147
0,notag833_51,Juvenile,0.8635164228014541
0,O883_51,Juvenile,0.7566852052578902
0,R833_51,Juvenile,0.8351987837440366
0,O472_50,Juvenile,0.86905737396112
0,Y472_50,Juvenile,0.7950555259788169
